municipio_cod,municipio_fato,data_fato,mes,ano,risp,rmbh,tentado_consumado,qtde_vitimas
316930,TRES CORACOES,2022-03-13,3,2022,6º Departamento - Lavras,3) Interior de MG,TENTADO,1
316990,UBA,2022-05-14,5,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,1
316990,UBA,2022-06-20,6,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,1
316990,UBA,2022-12-24,12,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,1
317010,UBERABA,2022-04-03,4,2022,5º Departamento - Uberaba,3) Interior de MG,TENTADO,1
317020,UBERLANDIA,2022-02-10,2,2022,9º Departamento - Uberlândia,3) Interior de MG,TENTADO,1
317020,UBERLANDIA,2022-03-09,3,2022,9º Departamento - Uberlândia,3) Interior de MG,TENTADO,1
317020,UBERLANDIA,2022-05-09,5,2022,9º Departamento - Uberlândia,3) Interior de MG,TENTADO,1
317020,UBERLANDIA,2022-05-16,5,2022,9º Departamento - Uberlândia,3) Interior de MG,TENTADO,1
317020,UBERLANDIA,2022-07-11,7,2022,9º Departamento - Uberlândia,3) Interior de MG,TENTADO,1
317020,UBERLANDIA,2022-09-25,9,2022,9º Departamento - Uberlândia,3) Interior de MG,TENTADO,1
317020,UBERLANDIA,2022-12-25,12,2022,9º Departamento - Uberlândia,3) Interior de MG,TENTADO,1
317040,UNAI,2022-10-11,10,2022,16º Departamento - Unaí,3) Interior de MG,TENTADO,1
317052,URUCUIA,2022-02-23,2,2022,16º Departamento - Unaí,3) Interior de MG,TENTADO,1
317052,URUCUIA,2022-04-26,4,2022,16º Departamento - Unaí,3) Interior de MG,TENTADO,1
317070,VARGINHA,2022-03-24,3,2022,6º Departamento - Lavras,3) Interior de MG,TENTADO,1
317107,VEREDINHA,2022-05-23,5,2022,14º Departamento - Curvelo,3) Interior de MG,TENTADO,1
317200,VISCONDE DO RIO BRANCO,2022-02-19,2,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,1
317200,VISCONDE DO RIO BRANCO,2022-04-11,4,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,1
310090,AGUAS FORMOSAS,2022-06-07,6,2022,15º Departamento - Teófilo Otoni,3) Interior de MG,CONSUMADO,1
310160,ALFENAS,2022-09-19,9,2022,18º Departamento - Poços de Caldas,3) Interior de MG,CONSUMADO,1
310270,CACHOEIRA DE PAJEU,2022-03-23,3,2022,15º Departamento - Teófilo Otoni,3) Interior de MG,CONSUMADO,1
310270,CACHOEIRA DE PAJEU,2022-05-25,5,2022,15º Departamento - Teófilo Otoni,3) Interior de MG,CONSUMADO,1
310270,CACHOEIRA DE PAJEU,2022-09-18,9,2022,15º Departamento - Teófilo Otoni,3) Interior de MG,CONSUMADO,1
310340,ARACUAI,2022-09-02,9,2022,15º Departamento - Teófilo Otoni,3) Interior de MG,CONSUMADO,1
310350,ARAGUARI,2022-07-11,7,2022,9º Departamento - Uberlândia,3) Interior de MG,CONSUMADO,1
310375,ARAPORA,2022-07-31,7,2022,9º Departamento - Uberlândia,3) Interior de MG,CONSUMADO,1
310400,ARAXA,2022-08-06,8,2022,5º Departamento - Uberaba,3) Interior de MG,CONSUMADO,1
310420,ARCOS,2022-02-06,2,2022,7º Departamento - Divinópolis,3) Interior de MG,CONSUMADO,1
